Cell,Year,Month,VEG_1,VEG_2,VEG_3,VEG_4,VEG_5,VEG_6,VEG_7,VEG_8,VEG_9,VEG_10
1,2008,11,1.075,0.883333,0.798016,0.966667,0.577083,0.2125,0.382658,0,0.179,0
1,2008,12,0.675,0.583333,0.557143,0.716667,0.388542,0.175,0.25518,0,0.106,0
1,2009,1,0.625,0.433333,0.478571,0.525,0.322917,0.15,0.217568,0,0.097,0
1,2009,2,0.683333,0.466667,0.471429,0.533333,0.330556,0.15,0.218919,0,0.0986667,0
1,2009,3,0.7875,0.466667,0.504762,0.608333,0.353125,0.1625,0.239189,0,0.111,0
1,2009,4,1.0125,0.55,0.684127,0.833333,0.445833,0.2,0.313063,0,0.134,0
1,2009,5,2.1,1.26667,1.4996,1.74167,0.951042,0.25,0.643919,0,0.266,0
1,2009,6,3.7375,3.05833,2.87976,3.23333,2.08646,0.5125,1.39167,0,0.639,0
1,2009,7,4.125,4,3.51746,3.96667,2.79688,1.0125,1.99099,0,0.993,0
1,2009,8,3.6375,3.4,3.17341,3.64167,2.52604,1.2125,1.87748,0,0.992,0
1,2009,9,2.0875,1.59167,1.89087,2.375,1.35313,0.7375,1.08041,0,0.588,0
1,2009,10,1.03333,0.788889,0.937037,1.3,0.630556,0.333333,0.511411,0,0.285333,0
1,2009,11,0.825,0.566667,0.630952,0.858333,0.4,0.2125,0.319595,0,0.176,0
1,2009,12,0.45,0.466667,0.425397,0.591667,0.260417,0.15,0.213964,0,0.109,0
1,2010,1,0.35,0.383333,0.380952,0.583333,0.221875,0.1375,0.186036,0,0.095,0
1,2010,2,0.316667,0.377778,0.383069,0.6,0.220833,0.1,0.18048,0,0.092,0
1,2010,3,0.375,0.408333,0.413889,0.583333,0.25625,0.1875,0.202027,0,0.111,0
1,2010,4,0.6625,0.6,0.561905,0.825,0.351042,0.1625,0.265991,0,0.166,0
1,2010,5,1.9625,1.73333,1.4131,1.69167,0.889583,0.4375,0.611712,0,0.315,0
1,2010,6,4.05,3.7,2.94881,3.225,2.18438,1.25,1.46014,0,0.668,0
1,2010,7,4.4875,4.25833,3.60079,3.96667,2.99063,1.8125,2.09842,0,0.983,0
1,2010,8,3.95,3.71667,3.22063,3.75,2.68646,1.5375,1.97432,0,0.963,0
1,2010,9,2.325,2.03333,1.8746,2.375,1.40313,0.7875,1.08694,0,0.601,0
1,2010,10,1.15,1.06667,0.930688,1.08889,0.631944,0.383333,0.506607,0,0.337333,0
1,2010,11,0.825,0.683333,0.646429,0.683333,0.438542,0.2625,0.313739,0,0.198,0
1,2010,12,0.45,0.308333,0.406746,0.541667,0.272917,0.1625,0.178604,0,0.092,0
1,2011,1,0.475,0.266667,0.370238,0.458333,0.238542,0.15,0.150225,0,0.089,0
1,2011,2,0.5,0.333333,0.387302,0.444444,0.252778,0.15,0.156456,0,0.0746667,0
1,2011,3,0.5625,0.383333,0.401984,0.5,0.26875,0.175,0.172297,0,0.087,0
1,2011,4,0.9125,0.658333,0.619841,0.725,0.398958,0.1875,0.256532,0,0.144,0
1,2011,5,2.1,1.56667,1.4623,1.56667,0.90625,0.3375,0.594595,0,0.3,0
1,2011,6,3.6375,3.10833,2.83214,3.075,2.04479,0.9125,1.42275,0,0.774,0
1,2011,7,4.3,3.925,3.61984,3.96667,2.97292,1.7125,2.2286,0,1.203,0
1,2011,8,3.9625,3.60833,3.34881,3.65833,2.83229,1.75,2.18468,0,1.176,0
1,2011,9,2.5625,2.125,2.01825,2.25,1.57604,0.9625,1.20968,0,0.659,0
1,2011,10,1.35,1.03333,1.03915,1.11111,0.748611,0.466667,0.53964,0,0.353333,0
1,2011,11,0.9375,0.675,0.719048,0.725,0.507292,0.275,0.316441,0,0.197,0
1,2011,12,0.6625,0.458333,0.47619,0.508333,0.336458,0.175,0.188964,0,0.116,0
1,2012,1,0.6375,0.4,0.432937,0.458333,0.303125,0.15,0.163288,0,0.115,0
1,2012,2,0.65,0.4,0.432804,0.466667,0.298611,0.15,0.162763,0,0.112,0
1,2012,3,0.675,0.433333,0.42619,0.475,0.309375,0.175,0.178829,0,0.122,0
1,2012,4,0.9875,0.525,0.551984,0.658333,0.378125,0.2125,0.23964,0,0.164,0
1,2012,5,2.3,1.28333,1.20952,1.40833,0.810417,0.4125,0.527477,0,0.308,0
1,2012,6,3.875,2.725,2.49048,2.675,1.88229,1.0625,1.25676,0,0.648,0
1,2012,7,4.25,3.44167,3.19444,3.325,2.64271,1.6875,1.90473,0,0.984,0
1,2012,8,3.8375,2.99167,2.89286,2.95833,2.41458,1.7125,1.8268,0,0.994,0
1,2012,9,2.5125,1.48333,1.63532,1.7,1.27604,1.025,1.00495,0,0.622,0
1,2012,10,1.4,0.844444,0.900529,0.977778,0.6375,0.416667,0.477778,0,0.357333,0
1,2012,11,1.0625,0.608333,0.631746,0.716667,0.427083,0.225,0.297523,0,0.23,0
1,2012,12,0.725,0.308333,0.404365,0.475,0.267708,0.2,0.182432,0,0.129,0
2,2000,1,0,0,0.341026,0.75,0.371,0.1125,0.105357,0,0.0392857,0
2,2000,2,0,0,0.440385,0.925,0.439,0.145833,0.13244,0,0.0660714,0
2,2000,3,0,0,0.416667,0.2,0.336,0.0625,0.0455882,0,0,0
2,2000,4,0,0,0.404274,0.233333,0.321333,0.0333333,0.0352941,0,0,0
2,2000,5,0,0,0.689744,1.125,0.672,0.275,0.169118,0,0.00192308,0
2,2000,6,0,0,0.492949,0.575,0.518,0.308333,0.220588,0,0.075,0
2,2000,7,0,0,2.90513,4.7,3.037,1.63333,1.24382,0,0.182692,0
2,2000,8,0,0,1.64872,2.8,1.98,0.875,0.691369,0,0.191071,0
2,2000,9,0,0,1.06474,2.2,1.055,0.716667,0.444706,0,0.109615,0
2,2000,10,0,0,0.844444,2.13333,0.901333,0.538889,0.347451,0,0.0871795,0
2,2000,11,0,0,0.499359,1.4,0.516,0.270833,0.164706,0,0.0134615,0
2,2000,12,0,0,0.366026,1.3,0.424,0.204167,0.121471,0,0.0134615,0
2,2001,1,0,0,0.530556,0.425,0.338462,0.18,0.140152,0,0.02,0
2,2001,2,0,0,0.537037,0.4,0.323077,0.173333,0.142424,0,0.0133333,0
2,2001,3,0,0,0.569444,0.425,0.336538,0.185,0.167045,0,0.02,0
2,2001,4,0,0,0.814583,0.65,0.425,0.3,0.267045,0,0.075,0
2,2001,5,0,0,1.83056,1.7,0.876923,0.54,0.548485,0,0.1225,0
2,2001,6,0,0,3.41528,3.725,2.02308,1.11,1.1625,0,0.215,0
2,2001,7,0,0,4.15764,4.375,3.04423,1.8,1.70265,0,0.2775,0
2,2001,8,0,0,3.99653,4.1,3.10192,1.99,1.7553,0,0.2575,0
2,2001,9,0,0,2.74722,2.6375,1.91346,1.295,1.09697,0,0.1625,0
2,2001,10,0,0,1.44352,1.15,0.807692,0.64,0.548485,0,0.133333,0
2,2001,11,0,0,0.874306,0.8625,0.482692,0.37,0.367424,0,0.1,0
2,2001,12,0,0,0.614583,0.7,0.380769,0.28,0.235985,0,0.045,0
2,2002,1,0,0,0.538194,0.575,0.342308,0.28,0.20947,0,0.0325,0
2,2002,2,0,0,0.552778,0.55,0.310256,0.26,0.20303,0,0.03,0
2,2002,3,0,0,0.589583,0.5125,0.330769,0.27,0.207197,0,0.035,0
2,2002,4,0,0,0.828472,0.7125,0.415385,0.315,0.253788,0,0.04,0
2,2002,5,0,0,1.86319,1.45,1.01346,0.735,0.586742,0,0.08,0
2,2002,6,0,0,3.49792,3.025,2.46731,1.74,1.41212,0,0.185,0
2,2002,7,0,0,4.08056,3.8375,3.36346,2.28,1.94242,0,0.2475,0
2,2002,8,0,0,3.68264,3.4625,3.025,2.09,1.72538,0,0.26,0
2,2002,9,0,0,2.33125,2.1,1.62692,1.2,0.902652,0,0.1975,0
2,2002,10,0,0,1.11481,0.966667,0.646154,0.513333,0.391414,0,0.11,0
2,2002,11,0,0,0.657639,0.6,0.434615,0.35,0.284091,0,0.05,0
2,2002,12,0,0,0.495833,0.4125,0.319231,0.24,0.187879,0,0.02,0
2,2003,1,0,0,0.422222,0.325,0.271154,0.24,0.16553,0,0.01,0
2,2003,2,0,0,0.443519,0.35,0.258974,0.206667,0.161111,0,0.01,0
2,2003,3,0,0,0.501389,0.4125,0.309615,0.2,0.187121,0,0.015,0
2,2003,4,0,0,0.865972,0.7,0.467308,0.32,0.285227,0,0.0525,0
2,2003,5,0,0,1.92639,1.475,1.01538,0.77,0.616667,0,0.0675,0
2,2003,6,0,0,3.21528,2.6375,2.01731,1.705,1.24545,0,0.1425,0
2,2003,7,0,0,3.97569,3.3125,2.80769,2.335,1.72348,0,0.2025,0
2,2003,8,0,0,3.77361,3.125,2.80962,2.255,1.68636,0,0.2175,0
2,2003,9,0,0,2.58611,2.0875,1.78654,1.47,1.02955,0,0.1575,0
2,2003,10,0,0,1.36111,1.06667,0.753846,0.64,0.493434,0,0.116667,0
2,2003,11,0,0,0.769444,0.675,0.432692,0.355,0.315152,0,0.0925,0
2,2003,12,0,0,0.559028,0.5,0.328846,0.275,0.227652,0,0.05,0
2,2004,1,0,0,0.539583,0.4125,0.315385,0.215,0.216667,0,0.05,0
2,2004,2,0,0,0.555556,0.45,0.307692,0.226667,0.211616,0,0.05,0
2,2004,3,0,0,0.577778,0.475,0.309615,0.205,0.212121,0,0.05,0
2,2004,4,0,0,0.6625,0.575,0.396154,0.28,0.253788,0,0.0925,0
2,2004,5,0,0,1.42153,1.3,0.859615,0.62,0.573106,0,0.135,0
2,2004,6,0,0,3.11389,2.975,2.15192,1.49,1.375,0,0.1975,0
2,2004,7,0,0,4.00764,3.85,3.20962,2.11,1.92879,0,0.255,0
2,2004,8,0,0,3.65486,3.525,3.10962,2.07,1.80833,0,0.29,0
2,2004,9,0,0,2.16111,2.025,1.80192,1.19,0.986742,0,0.24,0
2,2004,10,0,0,1.05741,0.85,0.748718,0.48,0.462626,0,0.183333,0
2,2004,11,0,0,0.66875,0.5375,0.455769,0.305,0.330303,0,0.1275,0
2,2004,12,0,0,0.418056,0.4,0.348077,0.295,0.209848,0,0.105,0
2,2005,1,0,0,0.405556,0.3375,0.315385,0.275,0.246591,0,0.09,0
2,2005,2,0,0,0.367593,0.3,0.312821,0.233333,0.167172,0,0.08,0
2,2005,3,0,0,0.417361,0.325,0.342308,0.225,0.177652,0,0.095,0
2,2005,4,0,0,0.686806,0.5625,0.475,0.285,0.265152,0,0.0725,0
2,2005,5,0,0,1.73056,1.4625,0.975,0.67,0.567803,0,0.08,0
2,2005,6,0,0,3.36667,2.9625,2.26538,1.81,1.25568,0,0.165,0
2,2005,7,0,0,4.03681,3.7,3.24423,2.51,1.78485,0,0.245,0
2,2005,8,0,0,3.64653,3.4125,3.14231,2.485,1.70947,0,0.255,0
2,2005,9,0,0,2.23819,2.05,1.88846,1.435,0.968939,0,0.1725,0
2,2005,10,0,0,1.0213,0.95,0.784615,0.62,0.438384,0,0.113333,0
2,2005,11,0,0,0.644444,0.7125,0.457692,0.365,0.259091,0,0.0875,0
2,2005,12,0,0,0.454861,0.5125,0.334615,0.235,0.162121,0,0.05,0
2,2006,1,0,0,0.393056,0.4125,0.305769,0.16,0.136364,0,0.0525,0
2,2006,2,0,0,0.402778,0.35,0.279487,0.153333,0.147475,0,0.0666667,0
2,2006,3,0,0,0.44375,0.4125,0.3,0.17,0.165152,0,0.08,0
2,2006,4,0,0,0.639583,0.5875,0.384615,0.265,0.224242,0,0.09,0
2,2006,5,0,0,1.4625,1.3125,0.938461,0.525,0.505303,0,0.0975,0
2,2006,6,0,0,3.03056,2.875,2.15192,1.065,1.17576,0,0.2,0
2,2006,7,0,0,3.86458,3.7,3.07115,1.705,1.70795,0,0.275,0
2,2006,8,0,0,3.54375,3.375,3.01538,1.695,1.6447,0,0.28,0
2,2006,9,0,0,2.09236,1.9,1.71154,0.965,0.896212,0,0.215,0
2,2006,10,0,0,1.03426,0.833333,0.671795,0.473333,0.419192,0,0.116667,0
2,2006,11,0,0,0.710417,0.525,0.407692,0.3,0.302652,0,0.07,0
2,2006,12,0,0,0.547222,0.4375,0.326923,0.205,0.195833,0,0.0325,0
2,2007,1,0,0,0.461111,0.325,0.292308,0.18,0.173106,0,0.0275,0
2,2007,2,0,0,0.463889,0.3,0.25641,0.16,0.178283,0,0.0366667,0
2,2007,3,0,0,0.508333,0.3375,0.303846,0.185,0.189773,0,0.0425,0
2,2007,4,0,0,0.774306,0.5875,0.440385,0.285,0.239015,0,0.04,0
2,2007,5,0,0,1.98056,1.575,1.05769,0.605,0.582197,0,0.045,0
2,2007,6,0,0,3.61319,3.4,2.34615,1.395,1.37197,0,0.1775,0
2,2007,7,0,0,4.13403,4.1125,3.24038,1.96,1.91894,0,0.325,0
2,2007,8,0,0,3.78194,3.6125,3.08462,1.89,1.79053,0,0.385,0
2,2007,9,0,0,2.38194,2.0375,1.825,1.07,0.996212,0,0.2375,0
2,2007,10,0,0,1.0463,1.05,0.792308,0.506667,0.478283,0,0.133333,0
2,2007,11,0,0,0.638889,0.7875,0.482692,0.34,0.335606,0,0.09,0
2,2007,12,0,0,0.486806,0.5375,0.348077,0.305,0.218561,0,0.0525,0
2,2008,1,0,0,0.442361,0.525,0.284615,0.275,0.189394,0,0.05,0
2,2008,2,0,0,0.47963,0.5,0.282051,0.233333,0.184343,0,0.0633333,0
2,2008,3,0,0,0.522222,0.5,0.307692,0.255,0.198485,0,0.0625,0
2,2008,4,0,0,0.797222,0.675,0.444231,0.315,0.2875,0,0.0825,0
2,2008,5,0,0,2.05208,1.5,1.02308,0.595,0.592045,0,0.125,0
2,2008,6,0,0,3.69514,2.8375,2.26731,1.155,1.23674,0,0.2325,0
2,2008,7,0,0,4.15347,3.525,3.06731,1.605,1.67008,0,0.2675,0
2,2008,8,0,0,3.8,3.175,2.99808,1.425,1.55189,0,0.26,0
2,2008,9,0,0,2.54236,1.925,1.86731,0.9,0.933333,0,0.2,0
2,2008,10,0,0,1.2713,1.03333,0.797436,0.5,0.486869,0,0.116667,0
2,2008,11,0,0,0.793056,0.725,0.492308,0.355,0.329924,0,0.0825,0
2,2008,12,0,0,0.577083,0.4375,0.373077,0.21,0.212879,0,0.0525,0
2,2009,1,0,0,0.495139,0.35,0.305769,0.18,0.198106,0,0.04,0
2,2009,2,0,0,0.503704,0.35,0.289744,0.18,0.20303,0,0.0466667,0
2,2009,3,0,0,0.538194,0.4,0.303846,0.2,0.202652,0,0.05,0
2,2009,4,0,0,0.727778,0.675,0.425,0.26,0.260606,0,0.0825,0
2,2009,5,0,0,1.57431,1.7375,0.953846,0.535,0.55303,0,0.0975,0
2,2009,6,0,0,3.0125,3.4875,2.06731,1.11,1.22803,0,0.175,0
2,2009,7,0,0,3.71389,4.1875,2.89231,1.69,1.69697,0,0.24,0
2,2009,8,0,0,3.38681,3.7875,2.75769,1.64,1.58636,0,0.3125,0
2,2009,9,0,0,2.13472,2.3375,1.62885,0.885,0.902273,0,0.265,0
2,2009,10,0,0,1.03611,1.15,0.705128,0.413333,0.409596,0,0.26,0
2,2009,11,0,0,0.648611,0.725,0.411538,0.28,0.274621,0,0.21,0
2,2009,12,0,0,0.49375,0.55,0.344231,0.2,0.203409,0,0.085,0
2,2010,1,0,0,0.428472,0.5,0.282692,0.18,0.176515,0,0.0725,0
2,2010,2,0,0,0.436111,0.5,0.271795,0.18,0.168687,0,0.0766667,0
2,2010,3,0,0,0.494444,0.55,0.278846,0.18,0.195833,0,0.09,0
2,2010,4,0,0,0.724306,0.7125,0.398077,0.24,0.247348,0,0.0525,0
2,2010,5,0,0,1.81389,1.6,0.961539,0.54,0.58447,0,0.065,0
2,2010,6,0,0,3.49931,3.325,2.12885,1.09,1.33939,0,0.1825,0
2,2010,7,0,0,4.01736,4.0125,2.81538,1.48,1.77765,0,0.3175,0
2,2010,8,0,0,3.57986,3.7,2.55192,1.37,1.61364,0,0.36,0
2,2010,9,0,0,2.23472,2.275,1.49808,0.835,0.904924,0,0.2575,0
2,2010,10,0,0,1.10741,1.13333,0.633333,0.44,0.428788,0,0.133333,0
2,2010,11,0,0,0.752778,0.7875,0.371154,0.305,0.269318,0,0.0625,0
2,2010,12,0,0,0.563889,0.6125,0.261538,0.21,0.168939,0,0.04,0
2,2011,1,0,0,0.5,0.575,0.221154,0.15,0.140909,0,0.04,0
2,2011,2,0,0,0.514815,0.55,0.223077,0.173333,0.145455,0,0.0533333,0
2,2011,3,0,0,0.548611,0.525,0.234615,0.19,0.162879,0,0.0575,0
2,2011,4,0,0,0.796528,0.675,0.375,0.285,0.243182,0,0.0625,0
2,2011,5,0,0,1.79514,1.65,0.861539,0.47,0.579924,0,0.0975,0
2,2011,6,0,0,3.22639,3.4875,1.90962,0.935,1.32803,0,0.245,0
2,2011,7,0,0,3.90069,4.1875,2.86731,1.62,1.94697,0,0.37,0
2,2011,8,0,0,3.59028,3.825,2.84231,1.67,1.82803,0,0.375,0
2,2011,9,0,0,2.27431,2.2875,1.70385,0.92,1.0375,0,0.26,0
2,2011,10,0,0,1.16296,1.03333,0.735897,0.353333,0.49697,0,0.176667,0
2,2011,11,0,0,0.69375,0.775,0.405769,0.165,0.303788,0,0.1175,0
2,2011,12,0,0,0.454861,0.5,0.311538,0.135,0.182197,0,0.0125,0
2,2012,1,0,0,0.396528,0.55,0.263462,0.14,0.164015,0,0.01,0
2,2012,2,0,0,0.431482,0.466667,0.251282,0.14,0.172727,0,0.0166667,0
